Distance,Speed_HAM,Throttle_HAM,Brake_HAM,DRS_HAM,Speed_LEC,Throttle_LEC,Brake_LEC,DRS_LEC
0.0,274.8507483216733,100.0,False,0,278.0,100.0,False,0
7.873706551683293,277.895525353528,100.0,False,0,278.0,100.0,False,0
10.741206551683295,279.0,100.0,False,0,278.0,100.0,False,0
20.336744084483293,280.84500096,100.0,False,0,285.92856685714287,100.0,False,0
26.36841075114996,282.0,100.0,False,0,285.92856685714287,100.0,False,0
37.64108079470551,283.7874976,100.0,False,0,289.52999808,100.0,False,0
51.70274746137218,286.0,100.0,False,0,291.0,100.0,False,0
69.53498544384837,289.17142674285714,100.0,False,0,296.0,100.0,False,0
74.20720766607059,290.0,100.0,False,0,296.0,100.0,False,0
82.46722427833726,291.52999808,99.49000064,False,0,296.0,100.0,False,0
90.44333538944838,293.0,99.0,False,0,296.0,100.0,False,0
108.70180750204096,296.08333155555556,99.61666631111112,False,0,299.156248,100.0,False,0
120.12514083537431,298.0,100.0,False,0,301.0,100.0,False,0
143.5362519464854,301.0,100.0,False,0,301.0,100.0,False,0
143.70348111270764,301.0124992,99.9937504,False,0,301.0,100.0,False,0
160.4958421793743,302.2624992,99.3687504,False,0,304.0,100.0,False,0
170.42750884604098,303.0,99.0,False,0,304.6374992,100.0,False,0
190.62750884604097,303.0,100.0,False,0,306.0,100.0,False,0
195.85918937404097,303.7749984,99.7416672,False,0,306.20999936,100.0,False,0
210.989189374041,306.0,99.0,False,0,307.0,100.0,False,0
219.66822061270764,306.3187496,99.3187496,False,0,308.0166656,100.0,False,0
238.25877616826318,307.0,100.0,False,0,309.0,100.0,False,0
241.84044283492983,307.0,99.79000064,False,0,309.0,100.0,False,0
255.31433172381875,307.0,99.0,False,0,309.0,100.0,False,0
265.7182206127076,307.0,99.5083328,False,0,309.0,100.0,False,0
275.78099839048537,307.0,100.0,False,0,309.0,100.0,False,0
284.4793317238187,307.0,100.0,False,0,309.0,100.0,False,0
301.53488727937423,307.0,100.0,False,0,309.0,100.0,False,0
309.89210950159645,307.0,100.0,False,0,309.0,100.0,False,0
323.5365539460409,307.0,99.0,False,0,309.0,100.0,False,0
328.81932710337423,306.7416672,99.0,False,0,309.0,100.0,False,0
343.9493271033743,306.0,99.0,False,0,309.0,100.0,False,0
356.0193271033742,306.0,99.0,False,0,309.0,100.0,False,0
357.54932710337425,306.0,99.0,False,0,309.0,100.0,False,0
390.0193271033742,306.0,99.95499968,False,0,310.0,100.0,False,0
391.5493271033742,306.0,100.0,False,0,310.0,100.0,False,0
405.3497020793742,306.6749994666667,100.0,False,0,310.0,100.0,False,0
412.0013687460409,307.0,100.0,False,0,310.0,100.0,False,0
420.68517947052163,306.4874373346129,89.23618402687102,False,0,310.0,100.0,False,0
